kod,100cm,100cm camlı,90cm,90cm camlı
100,0,0,0,0
110,183,55,31,35
120,6,24,9,24
130,32,15,34,25
140,1,4,7,8
160,93,13,27,4
200,2,0,0,0
220,26,19,25,20
230,-17,21,13,21
240,11,18,19,18
260,46,38,44,12
300,0,1,0,0
310,118,26,25,44
320,56,37,26,45
330,62,48,38,32
340,0,12,5,6
360,160,43,34,63
400,0,0,0,0
410,74,29,46,13
420,15,30,38,56
430,98,25,57,27
440,1,6,7,17
460,172,67,58,-6
500,0,0,0,0
520,35,24,20,26
530,57,21,25,24
540,0,18,1,11
560,22,24,36,36
600,10,0,0,0
610,142,35,127,64
620,7,15,2,-1
630,-6,57,116,54
640,1,17,6,14
660,531,45,4,111
700,0,0,0,0
720,116,39,67,27
730,7,54,1,34
740,0,20,6,2
760,169,54,112,46
800,0,0,0,0
810,106,48,47,21
820,6,50,46,49
830,45,39,16,44
840,0,3,8,1
860,163,55,87,55
900,0,0,0,0
920,63,25,35,29
930,104,34,31,39
960,-18,21,26,86
